z	symbol	name	mass	group_col	period_row	valence	note	shells
63	Eu	铕	152	9	9	-	高中少考，仅作定位。	
64	Gd	钆	157.3	10	9	-	高中少考，仅作定位。	
65	Tb	铽	158.9	11	9	-	高中少考，仅作定位。	
66	Dy	镝	162.5	12	9	-	高中少考，仅作定位。	
67	Ho	钬	164.9	13	9	-	高中少考，仅作定位。	
68	Er	铒	167.3	14	9	-	高中少考，仅作定位。	
69	Tm	铥	168.9	15	9	-	高中少考，仅作定位。	
70	Yb	镱	173	16	9	-	高中少考，仅作定位。	
71	Lu	镥	175	17	9	-	高中少考，仅作定位。	
72	Hf	铪	178.5	4	6	-	高中少考，仅作定位。	
73	Ta	钽	180.9	5	6	-	高中少考，仅作定位。	
74	W	钨	183.8	6	6	-	高中少考，仅作定位。	
75	Re	铼	186.2	7	6	-	高中少考，仅作定位。	
76	Os	锇	190.2	8	6	-	高中少考，仅作定位。	
77	Ir	铱	192.2	9	6	-	高中少考，仅作定位。	
78	Pt	铂	195.1	10	6	-	高中少考，仅作定位。	
79	Au	金	197	11	6	+1/+3	不活泼的贵金属。	
80	Hg	汞	200.6	12	6	+1/+2	唯一常温液态的常见金属。	
81	Tl	铊	204.4	13	6	-	高中少考，仅作定位。	
82	Pb	铅	207.2	14	6	+2/+4	曾经的管材金属，现在要小心毒性。	
83	Bi	铋	209	15	6	-	高中少考，仅作定位。	
84	Po	钋	209	16	6	-	高中少考，仅作定位。	
85	At	砹	210	17	6	-	高中少考，仅作定位。	
86	Rn	氡	222	18	6	-	高中少考，仅作定位。	
87	Fr	钫	223	1	7	-	高中少考，仅作定位。	
88	Ra	镭	226	2	7	-	高中少考，仅作定位。	
89	Ac	锕	227	3	10	-	高中少考，仅作定位。	
90	Th	钍	232	4	10	-	高中少考，仅作定位。	
91	Pa	镤	231	5	10	-	高中少考，仅作定位。	
92	U	铀	238	6	10	-	高中少考，仅作定位。	
93	Np	镎	237	7	10	-	高中少考，仅作定位。	
94	Pu	钚	244	8	10	-	高中少考，仅作定位。	
95	Am	镅	243	9	10	-	高中少考，仅作定位。	
96	Cm	锔	247	10	10	-	高中少考，仅作定位。	
97	Bk	锫	247	11	10	-	高中少考，仅作定位。	
98	Cf	锎	251	12	10	-	高中少考，仅作定位。	
99	Es	锿	252	13	10	-	高中少考，仅作定位。	
100	Fm	镄	257	14	10	-	高中少考，仅作定位。	
101	Md	钔	258	15	10	-	高中少考，仅作定位。	
102	No	锘	259	16	10	-	高中少考，仅作定位。	
103	Lr	铹	266	17	10	-	高中少考，仅作定位。	
104	Rf	Rf	267	4	7	-	高中少考，仅作定位。	
105	Db	Db	268	5	7	-	高中少考，仅作定位。	
106	Sg	Sg	269	6	7	-	高中少考，仅作定位。	
107	Bh	Bh	270	7	7	-	高中少考，仅作定位。	
108	Hs	Hs	277	8	7	-	高中少考，仅作定位。	
109	Mt	Mt	278	9	7	-	高中少考，仅作定位。	
110	Ds	Ds	281	10	7	-	高中少考，仅作定位。	
111	Rg	Rg	282	11	7	-	高中少考，仅作定位。	
112	Cn	Cn	285	12	7	-	高中少考，仅作定位。	
113	Nh	Nh	286	13	7	-	高中少考，仅作定位。	
114	Fl	Fl	289	14	7	-	高中少考，仅作定位。	
115	Mc	Mc	290	15	7	-	高中少考，仅作定位。	
116	Lv	Lv	293	16	7	-	高中少考，仅作定位。	
117	Ts	Ts	294	17	7	-	高中少考，仅作定位。	
118	Og	Og	294	18	7	-	高中少考，仅作定位。	
